chrom_ncbi chrom start start_phase end end_phase strand gene_id gene_name transcription_start transcription_end
NC_000014.9 chr14 NA 2 NA 2 + 28736 TRAJ19 22525262 22525322
NC_000014.9 chr14 NA 2 NA 2 + 28737 TRAJ18 22525649 22525715
NC_000014.9 chr14 NA 2 NA 2 + 28738 TRAJ17 22526843 22526906
NC_000014.9 chr14 NA 2 NA 2 + 28739 TRAJ16 22528526 22528586
NC_000017.11 chr17 7312755 0 7315052 0 - 2874 GPS2 7312658 7315339
NC_000014.9 chr14 NA 2 NA 2 + 28740 TRAJ15 22529628 22529688
NC_000014.9 chr14 NA 0 NA 0 + 28741 TRAJ14 22530326 22530378
NC_000014.9 chr14 NA 2 NA 2 + 28742 TRAJ13 22531075 22531138
NC_000014.9 chr14 NA 2 NA 2 + 28743 TRAJ12 22531938 22531998
NC_000014.9 chr14 NA 2 NA 2 + 28744 TRAJ11 22532501 22532561
NC_000014.9 chr14 NA 0 NA 0 + 28745 TRAJ10 22533496 22533560
NC_000014.9 chr14 NA 0 NA 0 + 28746 TRAJ9 22535553 22535614
NC_000014.9 chr14 NA 2 NA 2 + 28747 TRAJ8 22536144 22536204
NC_000014.9 chr14 NA 1 NA 1 + 28748 TRAJ7 22537621 22537680
NC_000014.9 chr14 NA 1 NA 1 + 28749 TRAJ6 22539072 22539134
NC_000008.11 chr8 144504304 0 144507000 1 + 2875 GPT 144502220 144507174
NC_000014.9 chr14 NA 2 NA 2 + 28750 TRAJ5 22540246 22540306
NC_000014.9 chr14 NA 2 NA 2 + 28751 TRAJ4 22542198 22542261
NC_000014.9 chr14 NA 1 NA 1 + 28752 TRAJ3 22543178 22543240
NC_000014.9 chr14 NA 2 NA 2 + 28753 TRAJ2 22544070 22544136
NC_000014.9 chr14 NA 1 NA 1 + 28754 TRAJ1 22545036 22545098
NC_000014.9 chr14 NA 2 22550664 1 + 28755 TRAC 22547505 22552132
NC_000022.11 chr22 22061245 0 22061557 0 + 28757 IGLVV-66 22061245 22061557
NC_000022.11 chr22 22182582 0 22182890 0 + 28758 IGLVV-58 22182582 22182890
NC_000022.11 chr22 22070224 0 22070711 2 + 28759 IGLVIV-65 22070224 22070711
NC_000003.12 chr3 49357387 0 49358278 0 - 2876 GPX1 49357175 49358358
NC_000022.11 chr22 22075185 0 22075682 2 + 28760 IGLVIV-64 22075185 22075682
NC_000022.11 chr22 22179164 0 22179488 0 + 28761 IGLVIV-59 22179164 22179488
NC_000022.11 chr22 22219646 0 22220133 2 + 28762 IGLVIV-53 22219646 22220133
NC_000022.11 chr22 22026075 0 22026553 2 + 28763 IGLVI-70 22026075 22026553
NC_000022.11 chr22 22032901 0 22033205 0 + 28764 IGLVI-68 22032901 22033205
NC_000022.11 chr22 22079769 0 22080233 2 + 28765 IGLVI-63 22079769 22080233
NC_000022.11 chr22 22198723 0 22199019 0 + 28766 IGLVI-56 22198723 22199019
NC_000022.11 chr22 22397031 0 22397490 0 + 28767 IGLVI-42 22397031 22397490
NC_000022.11 chr22 22425987 0 22426278 0 + 28768 IGLVI-38 22425987 22426278
NC_000022.11 chr22 22715157 0 22715443 0 + 28769 IGLVI-20 22715157 22715443
NC_000014.9 chr14 64939487 0 64942726 0 - 2877 GPX2 64939151 64942905
NC_000022.11 chr22 22201674 0 22202161 2 + 28770 IGLV11-55 22201674 22202161
NC_000022.11 chr22 22043451 0 22043914 2 + 28771 IGLV10-67 22043451 22043914
NC_000022.11 chr22 22214806 0 22215271 2 + 28772 IGLV10-54 22214806 22215271
NC_000022.11 chr22 22343223 0 22343734 2 + 28773 IGLV9-49 22343223 22343734
NC_000022.11 chr22 22098760 0 22099212 2 + 28774 IGLV8-61 22098760 22099212
NC_000022.11 chr22 22369647 0 22370087 2 + 28775 IGLV7-46 22369647 22370087
NC_000022.11 chr22 22395051 0 22395489 2 + 28776 IGLV7-43 22395051 22395489
NT_187629.1 chr22_KI270875v1_alt 21604 0 22078 2 + 28776 IGLV7-43 21538 22093
NC_000022.11 chr22 22450357 0 22450652 0 + 28777 IGLV7-35 22450357 22450652
NC_000022.11 chr22 22195798 0 22196276 2 + 28778 IGLV6-57 22195798 22196276
NC_000022.11 chr22 22318665 0 22319226 2 + 28779 IGLV5-52 22318665 22319226
NC_000005.10 chr5 151020654 0 151028130 0 + 2878 GPX3 151020437 151028993
NC_000022.11 chr22 22352939 0 22353433 2 + 28780 IGLV5-48 22352939 22353433
NC_000022.11 chr22 22376013 0 22376505 2 + 28781 IGLV5-45 22376013 22376505
NT_187629.1 chr22_KI270875v1_alt 2564 0 3140 2 + 28781 IGLV5-45 2499 3155
NT_187629.1 chr22_KI270875v1_alt 29139 0 29715 2 + 28782 IGLV5-39 29115 29715
NC_000022.11 chr22 22427544 0 22428035 2 + 28783 IGLV5-37 22427544 22428035
NC_000022.11 chr22 22030993 0 22031472 2 + 28784 IGLV4-69 22030993 22031472
NC_000022.11 chr22 22162197 0 22162681 1 + 28785 IGLV4-60 22162197 22162681
NC_000022.11 chr22 22871538 0 22872035 2 + 28786 IGLV4-3 22871538 22872035
NC_000022.11 chr22 22594566 0 22595056 2 + 28787 IGLV3-32 22594566 22595056
NC_000022.11 chr22 22604692 0 22605185 2 + 28788 IGLV3-31 22604692 22605185
NC_000022.11 chr22 22618717 0 22619211 2 + 28789 IGLV3-30 22618717 22619211
NC_000019.10 chr19 1104043 0 1106572 0 + 2879 GPX4 1103925 1106789
NC_000022.11 chr22 22660948 0 22661577 2 + 28790 IGLV3-29 22660948 22661577
NC_000022.11 chr22 22668325 0 22668808 2 + 28791 IGLV3-27 22668325 22668808
NC_000022.11 chr22 22673337 0 22673637 0 + 28792 IGLV3-26 22673337 22673637
NC_000022.11 chr22 22686768 0 22687281 2 + 28793 IGLV3-25 22686768 22687281
NC_000022.11 chr22 22694775 0 22695070 0 + 28794 IGLV3-24 22694775 22695070
NC_000022.11 chr22 22704328 0 22704818 2 + 28795 IGLV3-22 22704328 22704818
NC_000022.11 chr22 22712418 0 22713199 2 + 28796 IGLV3-21 22712418 22713199
NC_000022.11 chr22 22720662 0 22721155 2 + 28797 IGLV3-19 22720662 22721155
NC_000022.11 chr22 22738910 0 22739191 0 + 28798 IGLV3-17 22738910 22739191
NC_000022.11 chr22 22747420 0 22747921 2 + 28799 IGLV3-16 22747420 22747921
NC_000010.11 chr10 60042690 0 60733319 0 - 288 ANK3 60026297 60733526
NC_000006.12 chr6 28526013 0 28534167 0 + 2880 GPX5 28526011 28534951
NT_113891.3 chr6_GL000251v2_alt 15894 0 24048 0 + 2880 GPX5 15892 24832
NC_000022.11 chr22 22755552 0 22755837 0 + 28800 IGLV3-15 22755552 22755837
NC_000022.11 chr22 22762078 0 22762574 1 + 28801 IGLV3-13 22762078 22762574
NC_000022.11 chr22 22771832 0 22772582 2 + 28802 IGLV3-12 22771832 22772582
NC_000022.11 chr22 22811781 0 22812281 2 + 28803 IGLV3-10 22811781 22812281
NC_000022.11 chr22 22819124 0 22819752 2 + 28804 IGLV3-9 22819124 22819752
NC_000022.11 chr22 22838589 0 22838888 0 + 28805 IGLV3-7 22838589 22838888
NC_000022.11 chr22 22850372 0 22850656 0 + 28806 IGLV3-6 22850372 22850656
NC_000022.11 chr22 22857820 0 22858302 2 + 28807 IGLV3-4 22857820 22858302
NC_000022.11 chr22 22873007 0 22873493 0 + 28808 IGLV3-2 22873007 22873493
NC_000022.11 chr22 22880911 0 22881392 2 + 28809 IGLV3-1 22880911 22881392
NC_000022.11 chr22 22579841 0 22580312 2 + 28810 IGLV2-34 22579841 22580312
NC_000022.11 chr22 22588212 0 22588688 2 + 28811 IGLV2-33 22588212 22588688
NC_000022.11 chr22 22664472 0 22664931 2 + 28812 IGLV2-28 22664472 22664931
NC_000022.11 chr22 22697950 0 22698421 2 + 28813 IGLV2-23 22697950 22698421
NC_000022.11 chr22 22734619 0 22735089 2 + 28814 IGLV2-18 22734619 22735089
NC_000022.11 chr22 22758740 0 22759211 2 + 28815 IGLV2-14 22758740 22759211
NC_000022.11 chr22 22792532 0 22793003 2 + 28816 IGLV2-11 22792532 22793003
NC_000022.11 chr22 22822820 0 22823289 2 + 28817 IGLV2-8 22822820 22823289
NC_000022.11 chr22 22856589 0 22857060 0 + 28818 IGLV2-5 22856589 22857060
NC_000022.11 chr22 22086715 0 22087024 0 + 28819 IGLV1-62 22086715 22087024
NC_000001.11 chr1 52602409 0 52608425 2 + 2882 GPX7 52602370 52609051
NC_000022.11 chr22 22322507 0 22322969 2 + 28820 IGLV1-51 22322507 22322969
NC_000022.11 chr22 22327350 0 22327816 2 + 28821 IGLV1-50 22327350 22327816
NC_000022.11 chr22 22357794 0 22358262 2 + 28822 IGLV1-47 22357794 22358262
NC_000022.11 chr22 22380879 0 22381347 2 + 28823 IGLV1-44 22380879 22381347
NC_000022.11 chr22 22404259 0 22404721 2 + 28824 IGLV1-41 22404259 22404721
NC_000022.11 chr22 22409816 0 22410282 2 + 28825 IGLV1-40 22409816 22410282
NC_000022.11 chr22 22431997 0 22432465 2 + 28826 IGLV1-36 22431997 22432465
NC_000022.11 chr22 22921397 1 22921435 1 + 28827 IGLJ7 22921397 22921435
NC_000022.11 chr22 22918163 0 22918201 0 + 28828 IGLJ6 22918163 22918201
NC_000022.11 chr22 22914271 1 22914309 1 + 28829 IGLJ5 22914271 22914309
NC_000022.11 chr22 22910569 1 22910607 1 + 28830 IGLJ4 22910569 22910607
NC_000022.11 chr22 22904987 1 22905025 1 + 28831 IGLJ3 22904987 22905025
NC_000022.11 chr22 22899617 1 22899655 1 + 28832 IGLJ2 22899617 22899655
NC_000022.11 chr22 22893780 1 22893818 1 + 28833 IGLJ1 22893780 22893818
NC_000022.11 chr22 22922593 2 22922913 2 + 28834 IGLC7 22922593 22922913
NC_000017.11 chr17 75320367 0 75393628 0 - 2885 GRB2 75318075 75405709
NC_000017.11 chr17 39738905 0 39746897 0 + 2886 GRB7 39737908 39747285
NC_000002.12 chr2 90069687 0 90070240 2 + 28869 IGKV6D-41 90069687 90070240
NC_000007.14 chr7 50592951 0 50732322 0 - 2887 GRB10 50590062 50793462
NC_000002.12 chr2 90021633 0 NA 2 + 28870 IGKV6D-21 90021633 90022185
NC_000002.12 chr2 89906758 0 89907291 2 + 28871 IGKV3D-34 89906758 89907291
NC_000002.12 chr2 89929701 0 89930239 2 + 28872 IGKV3D-31 89929701 89930239
NC_000002.12 chr2 89988499 0 89990258 2 + 28873 IGKV3D-25 89988499 89990258
NC_000002.12 chr2 90038944 0 90039479 2 + 28874 IGKV3D-20 90038944 90039479
NC_000002.12 chr2 90114886 0 NA 2 + 28875 IGKV3D-15 90114886 90115400
NC_000002.12 chr2 90172898 0 NA 2 + 28876 IGKV3D-11 90172898 90173412
NC_000002.12 chr2 90234836 0 NA 2 + 28877 IGKV3D-7 90234836 90235368
NC_000002.12 chr2 89851757 0 89852491 2 + 28878 IGKV2D-40 89851757 89852491
NC_000002.12 chr2 89872462 0 89872702 0 + 28879 IGKV2D-38 89872462 89872702
NC_000002.12 chr2 164493035 0 164621309 0 - 2888 GRB14 164492405 164621850
NC_000002.12 chr2 89887020 0 89887254 0 + 28880 IGKV2D-36 89887020 89887254
NC_000002.12 chr2 89936893 0 NA 2 + 28881 IGKV2D-30 89936893 89937679
NC_000002.12 chr2 89947541 0 NA 2 + 28882 IGKV2D-29 89947541 89948271
NC_000002.12 chr2 89960014 0 NA 2 + 28883 IGKV2D-28 89960014 89960747
NC_000002.12 chr2 89985951 0 NA 2 + 28884 IGKV2D-26 89985951 89986704
NC_000002.12 chr2 90004826 0 NA 2 + 28885 IGKV2D-24 90004826 90005629
NC_000002.12 chr2 90008910 0 90009916 2 + 28886 IGKV2D-23 90008910 90009916
NC_000002.12 chr2 90046805 0 90047072 0 + 28887 IGKV2D-19 90046805 90047072
NC_000002.12 chr2 90052581 0 90053358 2 + 28888 IGKV2D-18 90052581 90053358
NC_000002.12 chr2 90121786 0 90122552 2 + 28889 IGKV2D-14 90121786 90122552
NC_000009.12 chr9 131579496 1 131737414 0 - 2889 RAPGEF1 131576769 131739944
NC_000002.12 chr2 90179889 0 90180655 2 + 28890 IGKV2D-10 90179889 90180655
NC_000002.12 chr2 90210053 0 NA 2 + 28891 IGKV1D-43 90210053 90210529
NC_000002.12 chr2 90190212 0 NA 2 + 28892 IGKV1D-42 90190212 90190679
NC_000002.12 chr2 89862504 0 NA 2 + 28893 IGKV1D-39 89862504 89862979
NC_000002.12 chr2 89884739 0 89885214 2 + 28894 IGKV1D-37 89884739 89885214
NC_000002.12 chr2 89895313 0 89895788 2 + 28895 IGKV1D-35 89895313 89895788
NC_000002.12 chr2 89914070 0 NA 2 + 28896 IGKV1D-33 89914070 89914545
NC_000002.12 chr2 89928421 0 89928896 2 + 28897 IGKV1D-32 89928421 89928896
NC_000002.12 chr2 89968868 0 89969344 2 + 28898 IGKV1D-27 89968868 89969344
NC_000002.12 chr2 90010740 0 90011208 2 + 28899 IGKV1D-22 90010740 90011208
NC_000005.10 chr5 153490888 0 153811225 0 + 2890 GRIA1 153489695 153813873
NC_000002.12 chr2 90082815 0 NA 2 + 28900 IGKV1D-17 90082815 90083291
NC_000002.12 chr2 90100262 0 NA 2 + 28901 IGKV1D-16 90100262 90100738
NC_000002.12 chr2 90154097 0 90154574 2 + 28902 IGKV1D-13 90154097 90154574
NC_000002.12 chr2 90159859 0 NA 2 + 28903 IGKV1D-12 90159859 90160335
NC_000002.12 chr2 90220907 0 NA 2 + 28904 IGKV1D-8 90220907 90221382
NT_187648.1 chr2_KI270894v1_alt 2571 0 3097 2 + 28904 IGKV1D-8 2539 3112
NC_000002.12 chr2 88915079 2 88915678 0 - 28905 IGKV7-3 88915079 88915678
NC_000002.12 chr2 NA 2 NA 0 - 28906 IGKV6-21 89159750 89160302
NC_000002.12 chr2 NA 0 NA 2 + 28907 IGKV5-2 88897294 88897784
NC_000002.12 chr2 NA 0 NA 2 + 28908 IGKV4-1 88885571 88886153
NC_000002.12 chr2 89275254 2 89275787 0 - 28909 IGKV3-34 89275254 89275787
NC_000004.12 chr4 157221042 0 157363044 0 + 2891 GRIA2 157220583 157366075
NC_000002.12 chr2 89252197 0 89252735 0 - 28910 IGKV3-31 89252197 89252735
NC_000002.12 chr2 89192490 2 89194268 0 - 28911 IGKV3-25 89192490 89194268
NC_000002.12 chr2 NA 2 NA 0 - 28912 IGKV3-20 89142573 89143108
NC_000002.12 chr2 NA 2 NA 0 - 28913 IGKV3-15 89085176 89085690
NC_000002.12 chr2 NA 2 NA 0 - 28914 IGKV3-11 89027170 89027684
NC_000002.12 chr2 NA 2 NA 0 - 28915 IGKV3-7 88978467 88978984
NC_000002.12 chr2 NA 0 89330429 0 - 28916 IGKV2-40 89330115 89330430
NC_000002.12 chr2 89309902 0 89310142 0 - 28917 IGKV2-38 89309902 89310142
NC_000002.12 chr2 89295223 0 89295457 0 - 28918 IGKV2-36 89295223 89295457
NC_000002.12 chr2 NA 2 NA 0 - 28919 IGKV2-30 89244780 89245566
NC_000023.11 chrX 123184535 0 123483044 0 + 2892 GRIA3 123184242 123490915
NC_000002.12 chr2 89234184 2 89234911 0 - 28920 IGKV2-29 89234184 89234911
NC_000002.12 chr2 NA 2 NA 0 - 28921 IGKV2-28 89221697 89222431
NC_000002.12 chr2 89196075 2 89196829 0 - 28922 IGKV2-26 89196075 89196829
NC_000002.12 chr2 NA 2 NA 0 - 28923 IGKV2-24 89176327 89177130
NC_000002.12 chr2 89172327 2 89173043 0 - 28924 IGKV2-23 89172327 89173043
NC_000002.12 chr2 89134980 0 89135247 0 - 28925 IGKV2-19 89134980 89135247
NC_000002.12 chr2 89128705 2 89129482 0 - 28926 IGKV2-18 89128705 89129482
NC_000002.12 chr2 89078018 2 89078784 0 - 28927 IGKV2-14 89078018 89078784
NC_000002.12 chr2 89019991 2 89020685 0 - 28928 IGKV2-10 89019991 89020685
NC_000002.12 chr2 88931650 2 88932378 0 - 28929 IGKV2-4 88931650 88932378
NC_000011.10 chr11 105610997 0 105979739 0 + 2893 GRIA4 105609993 105982092
NC_000002.12 chr2 NA 2 NA 0 - 28930 IGKV1-39 89319624 89320099
NC_000002.12 chr2 NA 2 NA 0 - 28931 IGKV1-37 89297263 89297738
NC_000002.12 chr2 89286695 2 89287170 0 - 28932 IGKV1-35 89286695 89287170
NC_000002.12 chr2 NA 2 NA 0 - 28933 IGKV1-33 89268000 89268475
NC_000002.12 chr2 89253540 2 89254015 0 - 28934 IGKV1-32 89253540 89254015
NC_000002.12 chr2 NA 2 NA 0 - 28935 IGKV1-27 89213422 89213897
NC_000002.12 chr2 89170744 2 89171212 0 - 28936 IGKV1-22 89170744 89171212
NC_000002.12 chr2 NA 2 NA 0 - 28937 IGKV1-17 89117341 89117817
NC_000002.12 chr2 NA 2 NA 0 - 28938 IGKV1-16 89099858 89100334
NC_000002.12 chr2 89045989 2 89046466 0 - 28939 IGKV1-13 89045989 89046466
NC_000010.11 chr10 85602272 0 86366392 0 - 2894 GRID1 85599554 86366493
NC_000002.12 chr2 NA 2 NA 0 - 28940 IGKV1-12 89040223 89040698
NC_000002.12 chr2 NA 2 NA 0 - 28941 IGKV1-9 89009981 89010457
NC_000002.12 chr2 NA 2 NA 0 - 28942 IGKV1-8 88992408 88992878
NC_000002.12 chr2 NA 2 NA 0 - 28943 IGKV1-6 88966261 88966738
NC_000002.12 chr2 NA 1 NA 1 - 28946 IGKJ5 88860567 88860605
NC_000002.12 chr2 NA 1 NA 1 - 28947 IGKJ4 88860885 88860923
NC_000002.12 chr2 NA 1 NA 1 - 28948 IGKJ3 88861220 88861258
NC_000002.12 chr2 NA 2 NA 2 - 28949 IGKJ2 88861524 88861563
NC_000004.12 chr4 92304656 0 93772498 0 + 2895 GRID2 92304398 93774556
NC_000002.12 chr2 NA 1 NA 1 - 28950 IGKJ1 88861885 88861923
NC_000002.12 chr2 12718307 0 12740794 1 + 28951 TRIB2 12716871 12742734
NC_000023.11 chrX 49235636 0 49250261 0 + 28952 CCDC22 49235466 49250526
NC_000020.11 chr20 31476445 0 31484430 2 + 28954 REM1 31475287 31484905
NC_000016.10 chr16 10941717 0 10942005 0 - 28955 DEXI 10928890 10942400
NC_000001.11 chr1 156054889 0 156058371 0 + 28956 LAMTOR2 156054725 156058510
NC_000008.11 chr8 79918979 1 80030248 0 - 28957 MRPS28 79918859 80030271
NC_000017.11 chr17 42798060 2 42798681 0 - 28958 COA3 42797617 42798725
NC_000007.14 chr7 150791530 0 150796569 0 - 28959 TMEM176B 150791286 150801360
NC_000017.11 chr17 44349164 0 44352798 0 + 2896 GRN 44345085 44353106
NC_000011.10 chr11 126304080 0 126345613 0 + 28960 DCPS 126303751 126345754
NC_000006.12 chr6 108044784 2 108074651 0 - 28962 OSTM1 108041408 108074737
NC_000017.11 chr17 29574701 0 29589378 0 - 28964 GIT1 29573468 29589592
NC_000005.10 chr5 128966137 0 129033282 0 + 28965 SLC27A6 128965474 129033642
NC_000005.10 chr5 122845633 0 123007749 2 + 28966 SNX24 122845464 123029276
NC_000019.10 chr19 49290122 0 49311347 0 - 28968 SLC6A16 49289631 49331701
NC_000007.14 chr7 16665443 0 16706088 2 + 28969 BZW2 16646133 16706523
NC_000021.9 chr21 29537229 0 29939500 0 - 2897 GRIK1 29536932 29939964
NC_000011.10 chr11 93747393 0 93761688 0 + 28970 C11orf54 93741593 93763102
NC_000011.10 chr11 77842496 0 77872315 0 + 28971 AAMDC 77821106 77872354
NC_000003.12 chr3 52706045 0 52707812 0 + 28972 SPCS1 52705840 52708182
NC_000006.12 chr6 30617865 0 30625797 2 + 28973 MRPS18B 30617319 30626397
NT_113891.3 chr6_GL000251v2_alt 2097352 0 2105521 2 + 28973 MRPS18B 2097043 2106121
NT_167245.2 chr6_GL000252v2_alt 1873458 0 1881627 2 + 28973 MRPS18B 1873149 1882227
NT_167246.2 chr6_GL000253v2_alt 1927857 0 1936026 2 + 28973 MRPS18B 1927548 1936626
NT_167247.2 chr6_GL000254v2_alt 1961676 0 1969845 2 + 28973 MRPS18B 1961367 1970445
NT_167248.2 chr6_GL000255v2_alt 1872716 0 1880885 2 + 28973 MRPS18B 1872407 1881485
NT_167249.2 chr6_GL000256v2_alt 1918386 0 1926555 2 + 28973 MRPS18B 1918077 1927155
NC_000019.10 chr19 13774477 0 13778198 0 + 28974 C19orf53 13774442 13778773
NC_000003.12 chr3 128879691 0 128912607 2 + 28976 ACAD9 128879489 128913114
NC_000012.12 chr12 93469285 0 93501221 1 + 28977 MRPL42 93467489 93503772
NC_000006.12 chr6 52677102 0 52686049 1 + 28978 TMEM14A 52671085 52686588
NC_000006.12 chr6 101399277 0 102068511 0 + 2898 GRIK2 101393707 102070083
NC_000012.12 chr12 110127380 0 110218226 0 + 28981 IFT81 110124334 110218795
NC_000001.11 chr1 212858452 0 212895290 0 + 28982 FLVCR1 212858254 212899363
NC_000004.12 chr4 68447512 0 68496804 0 + 28983 TMPRSS11E 68447448 68497604
NT_167250.2 chr4_GL000257v2_alt 141203 0 190491 0 + 28983 TMPRSS11E 141139 191291
NC_000013.11 chr13 41457707 0 41470485 2 + 28984 RGCC 41457405 41470877
NC_000023.11 chrX 120604236 0 120612264 1 + 28985 MCTS1 120603888 120621159
NC_000023.11 chrX 55452374 0 55453034 0 + 28986 MAGEH1 55452088 55453568
NC_000016.10 chr16 69742331 0 69754910 0 - 28987 NOB1 69741853 69754968
NC_000007.14 chr7 44044737 0 44060916 2 + 28988 DBNL 44044639 44061716
NC_000009.12 chr9 129632703 0 129635464 2 + 28989 NTMT1 129608883 129636131
NC_000001.11 chr1 36801850 0 37034108 0 - 2899 GRIK3 36795526 37034548
NC_000003.12 chr3 131014056 1 131025306 0 - 28990 ASTE1 131013872 131026854
NC_000008.11 chr8 144850663 0 144851338 0 - 28991 COMMD5 144837977 144853640
NC_000011.10 chr11 63998867 2 64165994 0 - 28992 MACROD1 63998555 64166130
NC_000007.14 chr7 139572926 0 139777623 0 - 28996 HIPK2 139561569 139777894
NC_000008.11 chr8 120396103 1 120445094 0 - 28998 MRPL13 120395843 120445407
NC_000003.12 chr3 126343726 1 126352922 0 - 28999 KLF15 126342634 126357393
NC_000017.11 chr17 1006079 0 1179727 0 - 29 ABR 1003517 1187322
NT_187613.1 chr17_KI270862v1_alt 45326 0 224199 0 - 29 ABR 42764 231794
NT_187664.1 chr17_KI270910v1_alt 45326 0 149085 0 - 29 ABR 42764 153205
NC_000015.10 chr15 89785348 0 89806583 0 - 290 ANPEP 89784894 89814854
NC_000011.10 chr11 120660318 0 120986260 0 + 2900 GRIK4 120511745 120988805
NC_000019.10 chr19 41998870 0 42065770 0 - 2901 GRIK5 41998315 42071804
NC_000011.10 chr11 57407791 0 57426172 0 - 29015 SLC43A3 57406953 57427580
NC_000009.12 chr9 137139486 0 137167842 0 + 2902 GRIN1 137139111 137168762
NC_000008.11 chr8 123321133 0 123396357 0 - 29028 ATAD2 123319849 123396465
NC_000016.10 chr16 9763148 0 10180411 0 - 2903 GRIN2A 9753403 10183364
NC_000016.10 chr16 9092044 0 9116912 2 + 29035 C16orf72 9091679 9119698
NC_000012.12 chr12 13562782 0 13866208 0 - 2904 GRIN2B 13537336 13982002
NC_000017.11 chr17 74842434 0 74855092 0 - 2905 GRIN2C 74842020 74861514
NC_000023.11 chrX 52947946 0 52948588 0 - 29057 FAM156A 52947253 52995472
NC_000020.11 chr20 5100790 0 5113028 0 - 29058 TMEM230 5099837 5113087
NC_000019.10 chr19 48398392 0 48443937 0 + 2906 GRIN2D 48394874 48444937
NC_000007.14 chr7 135186150 0 135211502 0 - 29062 WDR91 135183837 135211564
NC_000004.12 chr4 25312809 0 25369164 1 + 29063 ZCCHC4 25312773 25373176
NC_000016.10 chr16 11751316 1 11782354 0 - 29066 ZC3H7A 11750585 11797258
NC_000011.10 chr11 130233308 2 130261873 0 - 29068 ZBTB44 130226676 130314769
NC_000008.11 chr8 143991223 0 143992841 0 + 2907 GRINA 143990057 143993419
NC_000016.10 chr16 58250014 0 58279777 0 + 29070 CCDC113 58196963 58283836
NC_000023.11 chrX 120626209 0 120627166 0 - 29071 C1GALT1C1 120625673 120630150
NC_000003.12 chr3 47017092 0 47163924 0 - 29072 SETD2 47016407 47163977
NC_000006.12 chr6 159790587 0 159798123 0 + 29074 MRPL18 159790459 159798429
NC_000006.12 chr6 96891103 0 96897801 0 - 29078 NDUFAF4 96889310 96897891
NC_000013.11 chr13 48077138 2 48095078 0 - 29079 MED4 48075727 48095141
NC_000005.10 chr5 143279363 0 143400839 0 - 2908 NR3C1 143277930 143435512
NC_000012.12 chr12 82353150 0 82358376 0 - 29080 CCDC59 82352303 82358805
NC_000002.12 chr2 169811819 0 169824597 0 - 29081 METTL5 169811756 169824931
NC_000014.9 chr14 24209876 2 24213568 0 - 29082 CHMP4A 24209580 24213830
NC_000003.12 chr3 112990999 0 113000919 1 + 29083 GTPBP8 112990481 113001374
NC_000009.12 chr9 136849430 0 136850847 0 + 29085 PHPT1 136848815 136851043
NC_000019.10 chr19 17268806 0 17279048 0 + 29086 BABAM1 17267375 17279353
NC_000011.10 chr11 134248437 2 134252882 0 - 29087 THYN1 134248277 134253401
NC_000008.11 chr8 54135283 0 54147719 2 + 29088 MRPL15 54135220 54148514
NC_000001.11 chr1 202331834 0 202335754 0 - 29089 UBE2T 202331656 202341966
NC_000019.10 chr19 46918675 0 47000688 1 + 2909 ARHGAP35 46918566 47005077
NC_000018.10 chr18 74148808 0 74158480 0 + 29090 TIMM21 74148510 74158969
NC_000014.9 chr14 24812708 0 24974818 0 - 29091 STXBP6 24809653 25050297
NC_000005.10 chr5 154941110 0 154966897 2 + 29093 MRPL22 154941072 154969411
NC_000002.12 chr2 64454545 0 64458428 0 + 29094 LGALSL 64454192 64461383
NC_000012.12 chr12 55818999 0 55820395 1 + 29095 ORMDL2 55818021 55821175
NC_000001.11 chr1 224356924 0 224379090 1 + 29097 CNIH4 224356810 224379452
NC_000017.11 chr17 8288788 0 8289936 1 + 29098 RANGRF 8288386 8290092
NC_000011.10 chr11 36274631 0 36289412 0 - 29099 COMMD9 36272291 36289449
NC_000004.12 chr4 185143372 0 185146971 2 + 291 SLC25A4 185143262 185150384
NC_000016.10 chr16 67227218 0 67229113 0 + 29100 TMEM208 67227107 67229279
NC_000001.11 chr1 1542065 0 1574557 0 - 29101 SSU72 1541672 1574882
NC_000005.10 chr5 31401431 2 31529059 0 - 29102 DROSHA 31400493 31532175
NC_000013.11 chr13 43023626 0 43107248 2 + 29103 DNAJC15 43023225 43109170
NC_000021.9 chr21 28876384 2 28885345 0 - 29104 N6AMT1 28872190 28885373
NC_000016.10 chr16 58114024 0 58129115 0 - 29105 CFAP20 58113591 58129392
NC_000015.10 chr15 51681755 0 51719526 2 + 29106 SCG3 51681352 51721026
NC_000020.11 chr20 23354041 0 23354464 0 + 29107 NXT1 23350735 23354771
NC_000016.10 chr16 31201584 2 31202690 0 - 29108 PYCARD 31201485 31202776
NC_000016.10 chr16 67229635 2 67247410 0 - 29109 FHOD1 67229388 67247522
NC_000006.12 chr6 146029517 0 146434796 1 + 2911 GRM1 145964768 146437598
NC_000012.12 chr12 64455870 0 64501381 1 + 29110 TBK1 64452059 64502119
NC_000006.12 chr6 31111380 2 31112555 0 - 29113 C6orf15 31111222 31112555
NT_113891.3 chr6_GL000251v2_alt 2593755 2 2594930 0 - 29113 C6orf15 2593597 2594930
NT_167245.2 chr6_GL000252v2_alt 2370744 2 2371919 0 - 29113 C6orf15 2370586 2371919
NT_167246.2 chr6_GL000253v2_alt 2421883 2 2423058 0 - 29113 C6orf15 2421725 2423058
NT_167247.2 chr6_GL000254v2_alt 2455497 2 2456672 0 - 29113 C6orf15 2455339 2456672
